Timestamp,Online,Offline,Total,Percent Online
2023-11-09 19:01:07,227,2209,2436,9.32
2023-11-09 19:10:37,245,2191,2436,10.06
2023-11-09 19:20:08,239,2197,2436,9.81
2023-11-09 19:29:42,225,2211,2436,9.24
2023-11-09 19:39:21,223,2213,2436,9.15
2023-11-09 19:48:57,227,2209,2436,9.32
2023-11-09 19:58:31,222,2214,2436,9.11
2023-11-09 20:08:04,235,2201,2436,9.65
2023-11-09 20:17:42,228,2208,2436,9.36
2023-11-09 20:27:17,223,2213,2436,9.15
2023-11-09 20:36:52,221,2215,2436,9.07
2023-11-09 20:46:26,221,2215,2436,9.07
2023-11-09 20:56:01,226,2210,2436,9.28
2023-11-09 21:05:33,239,2197,2436,9.81
2023-11-09 21:15:05,243,2193,2436,9.98
2023-11-09 21:24:43,229,2207,2436,9.4
2023-11-09 21:34:24,225,2211,2436,9.24
2023-11-09 21:44:01,223,2213,2436,9.15
2023-11-09 21:53:36,224,2212,2436,9.2
2023-11-09 22:03:09,246,2190,2436,10.1
2023-11-09 22:12:41,251,2185,2436,10.3
2023-11-09 22:22:25,231,2205,2436,9.48
2023-11-09 22:32:02,230,2206,2436,9.44
2023-11-09 22:41:37,228,2208,2436,9.36
2023-11-09 22:51:19,213,2223,2436,8.74
2023-11-09 23:00:59,225,2211,2436,9.24
2023-11-09 23:10:37,229,2207,2436,9.4
2023-11-09 23:20:18,213,2223,2436,8.74
2023-11-09 23:29:59,213,2223,2436,8.74
2023-11-09 23:39:41,213,2223,2436,8.74
2023-11-09 23:49:27,212,2224,2436,8.7
2023-11-09 23:59:06,233,2203,2436,9.56
2023-11-10 00:08:44,234,2202,2436,9.61
2023-11-10 00:18:21,217,2219,2436,8.91
2023-11-10 00:27:58,217,2219,2436,8.91
2023-11-10 00:37:56,216,2220,2436,8.87
2023-11-10 00:47:32,218,2218,2436,8.95
2023-11-10 00:57:05,236,2200,2436,9.69
2023-11-10 01:06:37,237,2199,2436,9.73
2023-11-10 01:16:11,220,2216,2436,9.03
2023-11-10 01:25:46,221,2215,2436,9.07
2023-11-10 01:35:21,221,2215,2436,9.07
2023-11-10 01:44:56,220,2216,2436,9.03
2023-11-10 01:54:31,217,2219,2436,8.91
2023-11-10 02:04:25,234,2202,2436,9.61
2023-11-10 02:13:57,236,2200,2436,9.69
2023-11-10 02:23:52,221,2215,2436,9.07
2023-11-10 02:33:26,221,2215,2436,9.07
2023-11-10 02:43:01,223,2213,2436,9.15
2023-11-10 02:52:36,222,2214,2436,9.11
2023-11-10 03:02:07,238,2198,2436,9.77
2023-11-10 03:11:42,226,2210,2436,9.28
2023-11-10 03:21:38,220,2216,2436,9.03
2023-11-10 03:31:12,222,2214,2436,9.11
2023-11-10 03:40:48,222,2214,2436,9.11
2023-11-10 03:50:23,223,2213,2436,9.15
2023-11-10 03:59:55,236,2200,2436,9.69
2023-11-10 04:09:31,229,2207,2436,9.4
2023-11-10 04:19:05,223,2213,2436,9.15
2023-11-10 04:28:39,220,2216,2436,9.03
2023-11-10 04:38:15,218,2218,2436,8.95
2023-11-10 04:47:51,220,2216,2436,9.03
2023-11-10 04:57:24,235,2201,2436,9.65
2023-11-10 05:06:58,233,2203,2436,9.56
2023-11-10 05:16:33,219,2217,2436,8.99
2023-11-10 05:26:08,218,2218,2436,8.95
2023-11-10 05:35:43,218,2218,2436,8.95
2023-11-10 05:45:19,221,2215,2436,9.07
2023-11-10 05:54:53,223,2213,2436,9.15
2023-11-10 06:04:28,223,2213,2436,9.15
2023-11-10 06:14:00,240,2196,2436,9.85
2023-11-10 06:23:33,239,2197,2436,9.81
2023-11-10 06:33:08,221,2215,2436,9.07
2023-11-10 06:42:43,222,2214,2436,9.11
2023-11-10 06:52:18,222,2214,2436,9.11
2023-11-10 07:01:54,218,2218,2436,8.95
2023-11-10 07:11:29,217,2219,2436,8.91
2023-11-10 07:21:05,218,2218,2436,8.95
2023-11-10 07:30:56,239,2197,2436,9.81
2023-11-10 07:40:29,236,2200,2436,9.69
2023-11-10 07:50:04,217,2219,2436,8.91
2023-11-10 07:59:38,218,2218,2436,8.95
2023-11-10 08:09:13,219,2217,2436,8.99
2023-11-10 08:18:48,219,2217,2436,8.99
2023-11-10 08:28:22,218,2218,2436,8.95
2023-11-10 08:37:59,217,2219,2436,8.91
2023-11-10 08:47:33,234,2202,2436,9.61
2023-11-10 08:57:05,236,2200,2436,9.69
2023-11-10 09:07:00,232,2204,2436,9.52
2023-11-10 09:16:35,219,2217,2436,8.99
2023-11-10 09:26:11,219,2217,2436,8.99
2023-11-10 09:35:45,221,2215,2436,9.07
2023-11-10 09:45:21,218,2218,2436,8.95
2023-11-10 09:54:57,216,2220,2436,8.87
2023-11-10 10:04:33,217,2219,2436,8.91
2023-11-10 10:14:06,233,2203,2436,9.56
2023-11-10 10:23:39,236,2200,2436,9.69
2023-11-10 10:33:15,219,2217,2436,8.99
2023-11-10 10:42:50,222,2214,2436,9.11
2023-11-10 10:52:26,221,2215,2436,9.07
2023-11-10 11:02:04,220,2216,2436,9.03
2023-11-10 11:11:42,218,2218,2436,8.95
2023-11-10 11:21:16,222,2214,2436,9.11
2023-11-10 11:31:02,221,2215,2436,9.07
2023-11-10 11:40:35,236,2200,2436,9.69
2023-11-10 14:24:36,231,2205,2436,9.48
2023-11-10 14:34:13,232,2204,2436,9.52
2023-11-10 14:36:21,232,2204,2436,9.52
2023-11-10 14:59:12,231,2205,2436,9.48
2023-11-10 15:10:15,229,2207,2436,9.4
2023-11-10 15:19:51,235,2201,2436,9.65
2023-11-10 15:29:28,231,2205,2436,9.48
